Año Expediente,Nº Expediente,Fecha apertura,Barrio,origen,Solicita resp.,tema ,subtema,Urgencia
2014,2321,5/6/2014,SAN JUAN,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,2349,5/7/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2367,5/7/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2369,5/7/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2419,5/9/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2463,5/12/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2469,5/12/2014,ITURRAMA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,2473,5/13/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2475,5/13/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2509,5/14/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2511,5/14/2014,CHANTREA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,2512,5/14/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2513,5/14/2014,CHANTREA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,2521,5/15/2014,MILAGROSA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,2528,5/15/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2587,5/19/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2593,5/19/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,2598,5/19/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2599,5/19/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2617,5/20/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2667,5/22/2014,ABEJERAS-AZPILAGAÑA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,2704,5/23/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2717,5/25/2014,ROCHAPEA,WEB,SI,Mantenimiento del espacio público,Aceras,
